SKU,name,floral_type,color,category,quantity_suggested,primary_emotion,emotion_tags,color_modifier,design_use,substitution_note,source,confidence
EC-012,Blush Ranunculus Stem,ranunculus,blush,focal,10-16,delight,"delight, charm, sweetness, radiance",blush: tenderness + sweetness,Spring and romantic builds; volume filler,,reference_table,high
EC-013,Peach Ranunculus Stem,ranunculus,peach,focal,10-14,warmth,"warmth, joy, friendliness, charm",peach/coral: joy + friendliness,Summer and harvest builds,,reference_table,high
EC-014,White Ranunculus Stem,ranunculus,white,focal,10-16,purity,"purity, radiance, charm, clarity",white: purity + clarity,Clean builds; amplifies focal contrast,,reference_table,high
EC-015,Dusty Blue Hydrangea Stem,hydrangea,dusty blue,focal,4-6,nostalgia,"nostalgia, calm, serenity, longing",dusty blue: nostalgia + longing + serenity,Signature Evercrafted accent; difficult to replicate,,reference_table,high
EC-016,Ivory Hydrangea Stem,hydrangea,ivory,focal,4-6,serenity,"serenity, calm, warmth, heartfelt",ivory: warmth + quiet elegance,Soft volume filler at focal scale; transitions well,,reference_table,high
EC-017,Dusty Rose Hydrangea Stem,hydrangea,dusty rose,focal,4-6,calm,"calm, tenderness, nostalgia, understanding",dusty rose: warmth + nostalgia,Romantic + calm builds; large bloom coverage,,reference_table,high
EC-018,Sage Green Hydrangea Stem,hydrangea,sage,focal,4-6,renewal,"renewal, calm, nature, healing",sage: calm + nature + renewal,Neutral filler-focal; grounds any palette,,reference_table,high
EC-019,Burgundy Dahlia Stem,dahlia,burgundy,focal,4-6,drama,"drama, strength, desire, transformation",burgundy: depth + desire + drama,High-drama accent; pairs with ivory and sage,,reference_table,high
EC-020,Terracotta Dahlia Stem,dahlia,terracotta,focal,4-6,earthiness,"earthiness, warmth, harvest, transformation",terracotta: cozy warmth + earthiness,Autumn signature; pairs with rust and gold,,reference_table,high
EC-021,Dusty Mauve Dahlia Stem,dahlia,dusty mauve,focal,4-6,mystery,"mystery, elegance, dignity, quiet luxury",dusty mauve: quiet luxury + mystery,Sophisticated autumn and winter builds,,reference_table,high
EC-022,White Anemone Stem,anemone,white,focal,6-8,protection,"protection, purity, anticipation, wildness",white: purity + clarity,Editorial accent with black center; high visual impact,,reference_table,high
EC-023,Dusty Mauve Anemone Stem,anemone,dusty mauve,focal,6-8,mystery,"mystery, anticipation, vulnerability, quiet luxury",dusty mauve: quiet luxury + mystery,Moody editorial builds; unexpected focal,,reference_table,high
EC-024,Ivory Magnolia Stem,magnolia,ivory,focal,3-5,nobility,"nobility, quiet strength, purity, dignity",ivory: warmth + quiet elegance,Statement focal; needs space — 1-2 per wreath,,reference_table,high
EC-025,Burgundy Hellebore Stem,hellebore,burgundy,focal,4-6,mystery,"mystery, resilience, depth, quiet beauty",burgundy: depth + drama,Moody winter and autumn builds; unique texture,,reference_table,high
EC-026,Cream Hellebore Stem,hellebore,cream,focal,4-6,resilience,"resilience, quiet beauty, depth, warmth",cream: warmth + quiet luxury,Understated elegant focal; pairs with dark greens,,reference_table,high
EC-027,Burgundy Protea Stem,protea,burgundy,focal,2-3,courage,"courage, transformation, boldness, exotic wonder",burgundy: depth + drama,Statement focal — use sparingly; anchors bold builds,,reference_table,high
EC-028,Silver Dollar Eucalyptus Spray,eucalyptus,sage/silver,greenery,12-20,clarity,"clarity, calm, renewal, groundedness",sage: calm + renewal,Foundation greenery; fills and grounds any build,,reference_table,high
EC-029,Seeded Eucalyptus Spray,eucalyptus,sage green,greenery,10-16,renewal,"renewal, calm, groundedness, natural texture",sage: calm + nature,Textural greenery; directional flow,,reference_table,high
EC-030,Willow Eucalyptus Spray,eucalyptus,silver-green,greenery,10-16,calm,"calm, clarity, cleanse, renewal",silver: cool elegance + winter magic,Trailing greenery; architectural flow,,reference_table,high
EC-031,Preserved Olive Branch Spray,olive,deep green,greenery,8-12,groundedness,"groundedness, abundance, quiet strength, peace",deep green: abundance + forest quiet,Mediterranean builds; earthy and dignified,,reference_table,high
EC-032,Preserved Salal Leaf Spray,salal leaf,deep green,greenery,10-16,shelter,"shelter, sincerity, groundedness, naturalness",deep green: abundance + forest quiet,Dense base greenery; rich and full,,reference_table,high
EC-033,Preserved Lemon Leaf Spray,lemon leaf,deep green,greenery,10-16,abundance,"abundance, groundedness, naturalness, shelter",deep green: groundedness + abundance,Glossy base layer; reflects light well,,reference_table,high
EC-034,Dusty Miller Stem,dusty miller,silver,greenery,8-12,cool elegance,"cool elegance, winter magic, calm, softness",silver: elegance + winter magic,Softens palette; winter and cool builds,,reference_table,high
EC-035,Preserved Fern Frond,fern,deep green,greenery,8-12,sincerity,"sincerity, shelter, naturalness, groundedness",deep green: forest quiet + abundance,Trailing base layer; organic movement,,reference_table,high
EC-036,Preserved Boxwood Stem,boxwood,deep green,greenery,12-20,stability,"stability, structure, naturalness, quiet",deep green: groundedness + abundance,Dense filler greenery; formal and structured builds,,reference_table,high
EC-037,Sheet Moss Pad,moss,deep green,greenery,2-4,stillness,"stillness, humility, forest calm, simplicity",deep green: quiet + natural,Base cover for grapevine forms; texture layer,,reference_table,high
EC-038,Preserved Eucalyptus Sprig (small),eucalyptus,sage,greenery,16-24,clarity,"clarity, calm, renewal, naturalness",sage: calm + renewal,High-volume texture fill; economical use,,reference_table,high
EC-039,Ivory Dried Pampas Grass Stem,dried grass,ivory/cream,texture,4-6,freedom,"freedom, quiet nostalgia, organic, wabi-sabi",cream: warmth + quiet luxury,Trailing editorial accent; movement and air,,reference_table,high
EC-040,Blush Dried Pampas Grass Stem,dried grass,blush,texture,4-6,nostalgia,"nostalgia, organic freedom, tenderness, wabi-sabi",blush: tenderness + sweetness,Romantic boho builds; movement,,reference_table,high
EC-041,Natural Dried Bunny Tail Grass (bundle),dried grass,natural,texture,8-12,simplicity,"simplicity, quiet nostalgia, organic, wabi-sabi",brown/kraft: rustic + simplicity,Whimsical filler; adds airiness and organic texture,,reference_table,high
EC-042,Preserved Thistle Stem,thistle,purple-gray,texture,4-6,independence,"independence, resilience, pride, bravery",lavender/lilac: spirituality + dreaming,Editorial texture accent; unexpected and bold,,reference_table,high
EC-043,Rust Dried Seed Pod Cluster,seed pod,rust/terracotta,texture,6-10,earthiness,"earthiness, intrigue, harvest, natural cycle",terracotta: cozy warmth + harvest,Autumn texture fill; pairs with rust and burgundy,,reference_table,high
EC-044,Natural Cotton Stem,cotton,natural/white,texture,4-6,comfort,"comfort, home warmth, simplicity, harvest",natural: rustic simplicity,Farmhouse and holiday builds; harvest and winter,,reference_table,high
EC-045,White Cotton Stem,cotton,white,texture,4-6,purity,"purity, home warmth, simplicity, comfort",white: purity + clarity,Clean farmhouse and winter builds,,reference_table,high
EC-046,Burgundy Berry Stem,berry,burgundy,texture,6-8,abundance,"abundance, harvest, richness, earthiness",burgundy: depth + richness,Autumn/holiday builds; dense texture accent,,reference_table,high
EC-047,Ivory Berry Stem,berry,ivory,texture,6-8,abundance,"abundance, harvest, warmth, playfulness",ivory: warmth + quiet elegance,Neutral harvest accent; year-round versatility,,reference_table,high
EC-048,Red Berry Stem,berry,red,texture,4-6,vitality,"vitality, harvest, celebration, energy",red: passion + urgency + vitality,Holiday and winter builds; high-energy accent,,reference_table,high
EC-049,Natural Pinecone Pick (small),pinecone,natural,texture,8-12,stability,"stability, endurance, winter calm, protection",brown: groundedness + rustic,Winter holiday builds; weight and anchor,,reference_table,high
EC-050,Frosted Pinecone Pick,pinecone,silver/frosted,texture,6-8,winter magic,"winter magic, elegance, endurance, cool calm",silver: elegance + cool + winter magic,Winter and holiday luxury builds,,reference_table,high
EC-051,Cream Velvet Ribbon (2.5in),ribbon,cream,accent,1-2,luxury,"luxury, elegance, quiet warmth, festivity",cream: warmth + quiet elegance,Classic bow accent; farmhouse and neutral builds,,reference_table,high
EC-052,Sage Green Velvet Ribbon (2.5in),ribbon,sage,accent,1-2,elegance,"elegance, calm, nature, refined festivity",sage: calm + renewal,Botanical and holiday builds; on-brand Evercrafted,,reference_table,high
EC-053,Burgundy Velvet Ribbon (2.5in),ribbon,burgundy,accent,1-2,richness,"richness, luxury, celebration, drama",burgundy: depth + drama + richness,Holiday and autumn luxury builds,,reference_table,high
EC-054,Ivory Burlap Ribbon (2.5in),ribbon,natural/ivory,accent,1-2,simplicity,"simplicity, comfort, rustic warmth, home",brown/kraft: rustic + simplicity,Farmhouse and harvest builds,,reference_table,high
EC-055,Gold Metallic Ribbon (1.5in),ribbon,gold,accent,1-2,celebration,"celebration, abundance, joy, luxury",gold: joy + hope + abundance,Holiday luxury and harvest builds,,reference_table,high
EC-056,Ivory Dried Larkspur Stem,larkspur,ivory,filler,8-12,grace,"grace, lightness, tenderness, softness",ivory: warmth + nostalgia,Delicate filler; adds height and movement,Substitute for dried statice,inferred,medium
EC-057,Dusty Rose Dried Larkspur Stem,larkspur,dusty rose,filler,8-12,nostalgia,"nostalgia, grace, tenderness, lightness",dusty rose: warmth + nostalgia,Romantic filler with height,Substitute for dried statice,inferred,medium
EC-058,Burgundy Dried Larkspur Stem,larkspur,burgundy,filler,6-8,drama,"drama, richness, grace, depth",burgundy: depth + drama,Moody autumn filler with vertical movement,,inferred,medium
EC-059,Natural Dried Baby's Breath Spray,baby's breath,natural white,filler,8-12,purity,"purity, lightness, simplicity, grace",white: purity + clarity,Cloud-like filler; romantic and editorial builds,,reference_table,high
EC-060,Preserved Boxwood Berry Spray,boxwood berry,deep green + ivory,filler,10-16,abundance,"abundance, stability, naturalness, harvest",deep green: groundedness + abundance,Dense structured filler; holiday and autumn,,reference_table,high
EC-061,Natural Twig Bundle (birch),twig,natural/white,structure,4-6,minimalism,"minimalism, rawness, structure, honesty",brown: rustic + simplicity,Architectural base accent; frame element,Exclude from Evercrafted wreath florals — structure base use only,reference_table,high
EC-062,Preserved Broom Bloom Stem,broom bloom,ivory/natural,filler,10-16,lightness,"lightness, grace, simplicity, quiet elegance",ivory: warmth + nostalgia,Airy cloud-like filler; volume without weight,,inferred,medium
EC-063,Gold Dried Star Anise Pick,star anise,gold/natural,accent,6-10,abundance,"abundance, warmth, harvest, exotic spice",gold: joy + abundance,Holiday and harvest builds; fragrant accent,,inferred,medium
EC-064,Preserved Green Amaranthus Spray,amaranthus,deep green,filler,6-10,abundance,"abundance, harvest, dramatic flow, richness",deep green: abundance + forest quiet,Trailing filler; dramatic downward movement,,inferred,medium
EC-065,Burgundy Preserved Amaranthus Spray,amaranthus,burgundy,filler,6-8,drama,"drama, abundance, richness, depth",burgundy: depth + drama,Moody trailing filler; luxury autumn builds,,inferred,medium
EC-066,Ivory Preserved Statice Stem,statice,ivory,filler,10-16,remembrance,"remembrance, tenderness, quiet grace, longing",ivory: warmth + nostalgia,Dense cloud filler; texture between large blooms,,reference_table,high
EC-067,Dusty Rose Preserved Statice Stem,statice,dusty rose,filler,10-16,nostalgia,"nostalgia, tenderness, quiet grace, longing",dusty rose: warmth + nostalgia,Romantic filler; soft texture coverage,,reference_table,high
EC-068,Lavender Preserved Statice Stem,statice,lavender,filler,8-12,peace,"peace, healing, dreaming, gentleness",lavender/lilac: spirituality + dreaming,Calming filler; spring and soft builds,,reference_table,high
EC-069,Cream Preserved Lunaria (Honesty) Stem,lunaria,cream/silver,accent,4-6,mystery,"mystery, transformation, quiet magic, transience",silver: elegance + cool + winter magic,Translucent disc accent; editorial and winter builds,,inferred,medium
EC-070,Preserved Oak Leaf Spray,oak leaf,rust/terracotta,greenery,8-12,harvest,"harvest, endurance, autumn pride, earthiness",terracotta: cozy warmth + harvest,Autumn signature greenery; directional movement,,inferred,medium
EC-071,Preserved Copper Beech Leaf Spray,beech leaf,deep burgundy/brown,greenery,6-10,richness,"richness, autumn depth, endurance, quiet drama",burgundy: depth + drama,Luxury autumn builds; deep color base layer,,inferred,medium
EC-072,Natural Preserved Banksia Stem,banksia,natural/tan,focal,2-3,boldness,"boldness, transformation, exotic wonder, harvest",brown/kraft: groundedness + rustic,Statement texture focal; architectural builds,,inferred,medium
